index,question,student_answer,true_score,pred_score,correct,full_response
0,What is a Convolutional Neural Network (CNN)?,The CNN is a way to look at data....,1,1,True,1
1,What is a Convolutional Neural Network (CNN)?,CNNs are a type of neural network that look at pixels....,2,1,False,1
2,What is a Convolutional Neural Network (CNN)?,CNNs are used in image recognition by using convolutional layers and pooling....,3,3,True,3
3,What is a Convolutional Neural Network (CNN)?,A CNN is a deep learning model that processes data with grid-like topology using convolutional and p...,4,4,True,4
4,What is a Generative Adversarial Network (GAN)?,GANs are about generation....,1,1,True,1
5,What is a Generative Adversarial Network (GAN)?,"GANs involve two models, one makes data and the other checks it....",2,2,True,2
6,What is a Generative Adversarial Network (GAN)?,GANs consist of a generator and a discriminator competing to improve data generation quality....,3,3,True,3
7,What is a Generative Adversarial Network (GAN)?,GANs use a generator to create realistic data and a discriminator to distinguish between real and ge...,4,4,True,4
8,What is YOLO in machine learning?,YOLO sees things....,1,1,True,1
9,What is YOLO in machine learning?,YOLO detects objects in images all at once....,2,2,True,2
10,What is YOLO in machine learning?,YOLO is an object detection system that predicts bounding boxes and class probabilities from entire ...,3,3,True,3
11,What is YOLO in machine learning?,YOLO (You Only Look Once) is a real-time object detection system that processes images in a single n...,4,4,True,4
12,What is RCNN?,RCNN is about detecting stuff....,1,1,True,1
13,What is RCNN?,RCNN finds regions and classifies them....,2,2,True,2
14,What is RCNN?,RCNN extracts region proposals and uses CNN to classify them....,3,3,True,3
15,What is RCNN?,RCNN (Region-based Convolutional Neural Network) generates region proposals and uses CNNs to classif...,4,4,True,4
16,What is a Variational Autoencoder (VAE)?,VAEs encode things....,1,1,True,1
17,What is a Variational Autoencoder (VAE)?,A VAE is an autoencoder that samples from distributions....,2,2,True,2
18,What is a Variational Autoencoder (VAE)?,VAEs learn latent representations by encoding data into a probabilistic space and reconstructing fro...,3,3,True,3
19,What is a Variational Autoencoder (VAE)?,VAEs are generative models that encode input data into a latent space with learned distributions and...,4,4,True,4
20,What is Transfer Learning?,It uses something trained before....,1,1,True,1
21,What is Transfer Learning?,Transfer learning uses pretrained models on new problems....,2,2,True,2
22,What is Transfer Learning?,Transfer learning involves fine-tuning models trained on large datasets for tasks with limited data....,3,2,False,2
23,What is Transfer Learning?,Transfer learning applies knowledge from large-scale pretrained models to solve specific tasks effic...,4,4,True,4
24,What is Reinforcement Learning?,It's about rewards....,1,1,True,1
25,What is Reinforcement Learning?,Reinforcement learning uses rewards to train models....,2,2,True,2
26,What is Reinforcement Learning?,Reinforcement learning involves agents learning through interactions with environments by receiving ...,3,3,True,3
27,What is Reinforcement Learning?,Reinforcement learning is a feedback-based learning method where an agent learns optimal actions by ...,4,4,True,4
28,What is a Decision Tree?,It's a tree for decisions....,1,1,True,1
29,What is a Decision Tree?,A decision tree splits data by features....,2,2,True,2
30,What is a Decision Tree?,A decision tree uses feature-based splits to classify or predict outcomes....,3,3,True,3
31,What is a Decision Tree?,A decision tree is a supervised learning algorithm that recursively splits data based on feature thr...,4,4,True,4
32,What is Clustering in machine learning?,Clustering groups stuff....,1,1,True,1
33,What is Clustering in machine learning?,Clustering separates data based on similarities....,2,2,True,2
34,What is Clustering in machine learning?,Clustering is an unsupervised learning technique to group data into similar clusters....,3,2,False,2
35,What is Clustering in machine learning?,Clustering is an unsupervised learning task where algorithms like K-Means identify inherent grouping...,4,4,True,4
36,What is Feature Engineering?,It's about features....,1,1,True,1
37,What is Feature Engineering?,Feature engineering creates better inputs for models....,2,2,True,2
38,What is Feature Engineering?,Feature engineering transforms raw data into meaningful features that improve model performance....,3,3,True,3
39,What is Feature Engineering?,"Feature engineering is the process of selecting, transforming, and constructing features from raw da...",4,4,True,4
